employee_id,training_date,training_program_name,training_type,training_outcome,location,trainer,training_duration_days,training_cost
1022,2023-01-12,Project Management,Internal,Failed,Lindseyburgh,Kevin Nichols,1,664.23
1023,2022-10-19,Project Management,Internal,Failed,West Justinborough,Angela Good,4,893.07
1024,2022-10-11,Project Management,External,Completed,Hullmouth,Keith Curtis,5,868.98
1025,2023-01-13,Project Management,Internal,Incomplete,Thompsonbury,Nina Rodriguez,5,761.95
1026,2023-04-17,Communication Skills,External,Incomplete,Cynthiachester,Jennifer Robinson,4,431.57
1027,2023-03-16,Communication Skills,External,Incomplete,East Jackstad,Mr. Robert Byrd MD,4,357.57
1028,2023-01-19,Technical Skills,Internal,Incomplete,East Christopher,Gina Moore,3,804.06
1029,2023-02-25,Project Management,Internal,Failed,Lake Anthonyton,Christopher Rowland,5,729.41
1030,2023-01-04,Communication Skills,Internal,Completed,Longton,Wendy Gibson,1,169.46
1031,2022-12-26,Communication Skills,Internal,Failed,New Williamland,Ashley Gonzalez,1,833.28
1032,2022-12-07,Technical Skills,External,Completed,New Jackie,Cynthia Bradley,3,482.23
1033,2023-06-20,Communication Skills,Internal,Incomplete,Smithshire,William Smith,4,169.85
1034,2022-11-10,Leadership Development,Internal,Failed,Lake Anthony,Cynthia Brown,1,570.62
1035,2023-03-11,Communication Skills,Internal,Completed,New Nancy,Joseph Mendoza,2,724.14
1036,2022-12-10,Customer Service,External,Failed,Michaelmouth,Laura Gonzalez,3,305.98
1037,2022-10-25,Leadership Development,Internal,Failed,North Stephanie,Alexandra Hall,2,646.76
1038,2023-07-28,Customer Service,External,Failed,Jamesland,Eric Davis,2,516.89
1039,2023-01-24,Customer Service,External,Passed,East Williamport,Heather Silva,5,520.41
1040,2022-12-01,Technical Skills,Internal,Completed,Robertsmouth,Robert Johnson,5,712.84
1041,2023-03-07,Customer Service,Internal,Completed,Reesefurt,Taylor Baker,3,871.12
1042,2022-10-05,Project Management,Internal,Passed,New Jesusfort,Brian Maynard,1,228.11
1043,2022-08-10,Communication Skills,External,Completed,West Danielside,Todd Mason,2,289.93
1044,2022-09-13,Technical Skills,External,Incomplete,Smithborough,Stephanie Navarro,4,920.78
1045,2023-06-11,Customer Service,External,Completed,West Josephport,Jay Wilkins,2,690.41
1046,2023-07-28,Leadership Development,Internal,Failed,Lake Jose,Jason Morgan,2,211.39
1047,2022-11-27,Project Management,Internal,Passed,Smithland,James Phelps,2,606.63
1048,2022-12-02,Leadership Development,Internal,Completed,Powelltown,Ronald Rivera,5,503.99
1049,2022-11-20,Leadership Development,Internal,Completed,Gonzalezfort,Dr. Patricia Johnson,2,518.54
1050,2023-08-03,Customer Service,Internal,Completed,Samanthaport,James Reed,1,846.43
1051,2022-10-13,Leadership Development,Internal,Passed,Hardingfort,Mark Morgan,3,572.94
1052,2022-10-25,Communication Skills,Internal,Incomplete,Larryview,Robin Becker,4,234.76
1053,2022-12-19,Communication Skills,External,Passed,Valdezfort,Erika Roberts,4,704.7
1054,2022-11-04,Technical Skills,External,Failed,Tammyfurt,Cynthia Porter,3,533.97
1055,2022-11-15,Customer Service,Internal,Passed,West Robert,Anna Petty,2,125.7
1056,2023-02-16,Leadership Development,Internal,Completed,South Julieville,Julie Cole,2,442.06
1057,2022-10-23,Project Management,Internal,Failed,East Amanda,Andrew Herrera,4,649.23
1058,2023-04-01,Project Management,External,Incomplete,South Jesusport,Amanda Christian,1,855.67
1059,2022-09-16,Technical Skills,Internal,Incomplete,Brianville,Victoria Vasquez,3,256.82
1060,2022-09-06,Project Management,Internal,Completed,East Andres,Cindy Schultz,1,770.84
1061,2023-08-01,Project Management,Internal,Incomplete,Paigefurt,Nathan Mitchell,2,862.33
1062,2022-11-27,Technical Skills,Internal,Failed,Carolinemouth,Taylor Barron,5,702.84
1063,2022-10-15,Technical Skills,Internal,Completed,Onealland,Eric Harris,1,523.82
1064,2022-10-06,Leadership Development,External,Passed,South Charlene,Jacqueline Barton,1,819.86
1065,2022-12-09,Technical Skills,External,Passed,East Leah,Kara Frazier MD,4,486.01
1066,2023-06-14,Communication Skills,Internal,Completed,Brandonberg,Travis Knox,5,769.42
1067,2023-06-24,Project Management,External,Completed,Toddtown,Joseph Long,5,857.65
1068,2022-11-06,Communication Skills,External,Completed,Richardmouth,Ashley Wright,1,238.27
1069,2022-08-22,Communication Skills,Internal,Failed,South Angelaview,Brandi Petersen,5,886.06
1070,2023-01-14,Technical Skills,Internal,Failed,Robertside,Zachary Wilson,1,943.8
1071,2023-03-16,Communication Skills,Internal,Completed,Johnport,Amanda Medina,5,234.26
1072,2023-05-19,Technical Skills,Internal,Passed,Mendozamouth,Melissa Campos,5,179.91
1073,2022-10-03,Project Management,Internal,Failed,Ivanburgh,Ryan Hunter,4,306.3
1074,2023-07-07,Project Management,Internal,Passed,Davisberg,Ashley Garrett,5,103.42
1075,2023-05-16,Project Management,Internal,Passed,East Darryl,Ronald Ortiz,4,573.29
1076,2022-11-07,Technical Skills,External,Incomplete,Jamieville,Becky Hebert,4,619.61
1077,2022-12-21,Project Management,Internal,Incomplete,West Brookechester,Joshua Kirk,1,947.17
1078,2023-03-24,Project Management,External,Passed,Villanuevaborough,Patrick Bryant,1,597.64
1079,2023-04-15,Communication Skills,External,Incomplete,North Jon,Maria Jones,5,861.1
1080,2023-04-22,Customer Service,External,Passed,Mcleanburgh,Sandra Joseph,4,199.14
1081,2023-06-05,Communication Skills,External,Failed,Brandonview,Samuel Wilson,3,526.08
1082,2023-04-22,Customer Service,External,Incomplete,New Colinfort,Angela Colon,5,662.15
1083,2022-11-18,Project Management,External,Completed,North Brandy,Molly Hughes,4,869.89
1084,2022-12-17,Leadership Development,External,Completed,West Jessicatown,Morgan Thomas,3,295.4
1085,2022-11-01,Customer Service,External,Passed,East Katherinetown,Bradley Petersen,5,993.13
1086,2023-07-15,Leadership Development,External,Completed,East Robertside,Patrick Andrews,2,641.69
1087,2023-05-10,Technical Skills,Internal,Incomplete,Heatherview,Ryan Crawford,5,197.34
1088,2023-05-17,Leadership Development,External,Failed,North Elizabeth,Keith Richardson,2,235.15
1089,2023-05-27,Technical Skills,Internal,Passed,North Amanda,Jasmin Walker,2,697.28
1090,2023-03-21,Communication Skills,External,Completed,Wrightton,Tracy Sanchez,1,910.33
1091,2022-10-20,Customer Service,Internal,Incomplete,Port Patricia,Jennifer Bailey,2,213.91
1092,2022-09-20,Communication Skills,Internal,Completed,Wilkinsfurt,Heather Gutierrez,5,971.46
1093,2023-07-07,Customer Service,External,Failed,West Matthew,George Burns,5,995.52
1094,2022-08-18,Communication Skills,Internal,Failed,South Joshuatown,Richard Mckee,4,161.4
1095,2022-08-17,Customer Service,Internal,Passed,New Kimberly,Jeremy Schneider,4,715.87
1096,2022-09-25,Technical Skills,External,Incomplete,Alexandriachester,Adam Robinson,5,778.25
1097,2022-08-11,Customer Service,Internal,Completed,Port Danielmouth,Ryan Bradley,1,609.5
1098,2023-05-13,Leadership Development,External,Failed,Rachelshire,Kimberly Smith,5,666.67
1099,2022-10-30,Project Management,External,Incomplete,Arthurmouth,Linda Carter,5,797.05
1100,2023-02-25,Communication Skills,External,Completed,Brownmouth,Sarah Cain,3,518.56
1101,2023-03-31,Communication Skills,Internal,Passed,Osbornfort,Matthew Mason,5,426.82
1102,2022-12-31,Project Management,External,Failed,Taylorburgh,Timothy Freeman,2,150.04
1103,2023-07-05,Leadership Development,External,Passed,Hoffmanview,Richard Johnson,3,308.21
1104,2022-08-11,Communication Skills,Internal,Completed,West Joel,Gloria Phillips,4,766.77
1105,2023-01-17,Technical Skills,Internal,Incomplete,Lake Heidi,Sarah Payne,4,172.19
1106,2022-10-31,Project Management,Internal,Completed,Port Jacob,Amber Taylor,1,742.55
1107,2023-01-26,Technical Skills,Internal,Failed,West Lisafort,Isaac Burke,2,231.28
1108,2023-05-23,Customer Service,Internal,Completed,Ricardoberg,Shane Short,5,124.54
1109,2023-01-21,Leadership Development,External,Completed,South Ericburgh,Walter Frazier,5,898.37
1110,2022-10-13,Customer Service,Internal,Passed,Webbmouth,Theodore Robles,2,764.36
1111,2022-12-05,Project Management,Internal,Failed,Davilatown,Brendan Holmes,5,786.57
1112,2022-09-30,Communication Skills,Internal,Failed,Delgadoshire,Eric Davis,3,668.05
1113,2023-01-20,Technical Skills,External,Incomplete,Lake Eileenfurt,Brittany Jones,2,956.92
1114,2023-02-25,Communication Skills,Internal,Incomplete,Jesusland,Darren Huynh,1,912.27
1115,2023-05-19,Customer Service,Internal,Incomplete,Aguirreland,Brenda Martinez,4,881.71
1116,2023-05-16,Communication Skills,Internal,Incomplete,Kempmouth,Ms. Jeanette Webster DDS,4,557.68
1117,2023-01-12,Communication Skills,Internal,Completed,Lake Emily,Ashley Jensen,4,271.68
1118,2022-12-16,Communication Skills,External,Completed,North Whitney,Patricia Morris,2,299.68
1119,2023-07-08,Communication Skills,Internal,Incomplete,Kaylaburgh,John Williams,5,440.28
1120,2023-03-10,Leadership Development,Internal,Incomplete,Swansonstad,Joshua Bell,4,553.83
1121,2022-09-19,Leadership Development,Internal,Failed,Richardfurt,George Brown,1,428.9
1122,2023-01-21,Communication Skills,Internal,Passed,Allentown,Jessica Hodges,3,444.4
1123,2023-01-31,Project Management,Internal,Completed,Port Misty,Robert Young,4,254.38
1124,2022-11-03,Communication Skills,Internal,Failed,Jennyport,Derek Harrell,1,256.21
1125,2022-12-14,Communication Skills,Internal,Incomplete,New Gregory,Darren Mccarthy,2,756.19
1126,2023-07-29,Technical Skills,Internal,Failed,North Benjaminstad,William Farrell,4,500.45
1127,2022-09-04,Communication Skills,External,Incomplete,New Waynehaven,Melissa Miles,2,500.83
1128,2023-05-17,Communication Skills,Internal,Incomplete,New Cory,James Perez,1,773.8
1129,2022-09-11,Technical Skills,Internal,Passed,Ashleyton,Chad Mccall,2,768.06
1130,2022-11-09,Leadership Development,External,Completed,Bellport,Mr. Brandon Turner,3,777.7
1131,2023-03-31,Customer Service,Internal,Incomplete,Garnerhaven,Benjamin Briggs,2,943.05
1132,2022-09-27,Communication Skills,Internal,Passed,Robertsburgh,Amber Harris MD,4,475.91
1133,2022-08-19,Customer Service,External,Passed,Blakeshire,Richard Ross,3,107.14
1134,2022-12-09,Communication Skills,External,Passed,Robertshire,Carolyn Deleon,1,271.49
1135,2023-03-22,Project Management,Internal,Passed,West Caitlinport,Andrew Jordan,2,524.23
1136,2022-12-25,Customer Service,External,Completed,Brittanyberg,Danny Smith,3,535.88
1137,2022-09-09,Communication Skills,Internal,Passed,Rothville,Monique Williams DVM,5,270.92
1138,2022-09-10,Customer Service,Internal,Failed,Cohenmouth,Stacy Fisher,4,155.14
1139,2022-10-01,Customer Service,External,Completed,Port Brandon,Stephanie Hill,1,930.06
1140,2022-09-27,Customer Service,Internal,Passed,West Michael,Shawn Martin,1,949.81
1141,2023-05-17,Technical Skills,Internal,Incomplete,Josephport,Ellen Anderson,1,635.31
1142,2023-07-17,Leadership Development,External,Completed,Mistyton,Molly Scott,3,675.04
1143,2022-12-20,Customer Service,Internal,Failed,Geraldmouth,Scott Nelson,3,563.38
1144,2023-01-10,Communication Skills,External,Completed,Cherylland,Nicholas Thompson,4,750.25
1145,2022-11-15,Technical Skills,Internal,Incomplete,North Madelineville,Teresa Lee,2,401.53
1146,2023-06-28,Technical Skills,External,Failed,East Elizabeth,Andrew Hendricks,3,894.88
1147,2023-01-25,Leadership Development,Internal,Failed,Lake Dianeton,Ms. Diamond Knox,2,247.58
1148,2022-09-01,Communication Skills,External,Passed,West Danieltown,Tamara Lee,3,529.0
1149,2023-07-31,Leadership Development,External,Failed,East Nicolefort,Michael Roberts,5,483.99
1150,2023-06-03,Project Management,External,Incomplete,Simmonston,Heather Murillo,5,797.35
1151,2022-12-19,Project Management,External,Passed,New Ronald,Christopher Perry,4,707.59
1152,2023-03-29,Customer Service,External,Incomplete,Taraland,Kelly Golden,2,564.48
1153,2022-12-02,Communication Skills,Internal,Failed,Jesusmouth,Kyle Hernandez,4,555.35
1154,2022-08-12,Customer Service,Internal,Incomplete,West Sandra,Danielle Decker,3,338.48
1155,2022-09-10,Technical Skills,Internal,Failed,Port Peggyberg,Michael Price,1,339.01
1156,2022-09-04,Customer Service,Internal,Incomplete,North Kayla,Michael Williams,5,939.49
1157,2022-10-11,Technical Skills,External,Passed,Jamiestad,Jeffery Brown,1,276.47
1158,2022-09-14,Customer Service,External,Completed,South Stephen,Grant Rodriguez,3,154.71
1159,2022-12-27,Leadership Development,External,Failed,Diazside,Mrs. Elizabeth Murray DDS,3,674.24
1160,2022-11-07,Leadership Development,External,Failed,Lake Nancyshire,Susan Myers,2,137.96
1161,2022-11-13,Technical Skills,Internal,Passed,Port Charleneborough,Jeffrey Hester,5,926.85
1162,2022-09-02,Communication Skills,External,Incomplete,Port Michelle,Jose Boyd,1,846.55
1163,2023-02-23,Communication Skills,External,Passed,Wrightfort,Robin Morgan,3,734.77
1164,2023-03-01,Technical Skills,Internal,Incomplete,New Juanville,Anne Goodman,3,315.09
1165,2022-09-27,Communication Skills,Internal,Passed,Nguyenberg,Carlos Wilson,3,686.05
1166,2022-08-10,Communication Skills,External,Passed,New Claytonville,Christina Waters,4,942.51
1167,2023-02-23,Project Management,Internal,Failed,Nicolechester,Paul James,4,782.82
1168,2022-09-02,Project Management,Internal,Failed,Port Dawn,Austin Gonzalez,1,370.64
1169,2023-06-30,Technical Skills,Internal,Incomplete,Eduardostad,Joshua Salas,1,487.66
1170,2023-08-04,Communication Skills,External,Incomplete,Christopherport,Andrew Wright,1,179.85
1171,2022-09-07,Project Management,Internal,Completed,Perryside,Amanda Richardson,1,294.74
1172,2023-03-30,Communication Skills,External,Passed,North Christina,Jessica Odom,5,202.09
1173,2023-02-09,Customer Service,Internal,Passed,Brownington,Penny Stevenson,4,901.42
1174,2023-05-12,Project Management,External,Incomplete,North Angelahaven,Cindy King,3,454.23
1175,2023-01-04,Project Management,Internal,Passed,Duffyport,Richard Adkins,3,460.39
1176,2023-02-14,Leadership Development,Internal,Completed,East Karen,Jessica Taylor,2,644.72
1177,2022-09-17,Customer Service,External,Passed,New Joseph,Mark Perez,3,436.86
1178,2022-12-21,Project Management,External,Failed,Gomezville,Christopher Whitehead,1,361.52
1179,2023-02-11,Technical Skills,Internal,Passed,Thompsonport,Jackson Stanley,2,229.05
1180,2022-11-17,Technical Skills,Internal,Completed,Thompsonfort,Paul Terry,3,787.85
1181,2022-12-31,Communication Skills,External,Incomplete,Sullivanland,Jessica Quinn,1,483.82
1182,2022-10-19,Communication Skills,External,Passed,West Elizabethfurt,Miranda Brown,5,623.64
1183,2023-07-16,Technical Skills,Internal,Incomplete,Silvaview,Jennifer Beasley,4,351.35
1184,2023-01-31,Customer Service,Internal,Completed,Deniseville,Mary Coleman,3,512.51
1185,2022-09-22,Project Management,Internal,Failed,North Jason,James Larson,5,957.9
1186,2023-06-12,Communication Skills,External,Failed,Port John,Renee Calderon,5,886.45
1187,2022-10-25,Communication Skills,Internal,Incomplete,Acevedoshire,Margaret Martinez,4,443.55
1188,2023-01-07,Technical Skills,Internal,Passed,Martinburgh,Justin Soto,4,899.13
1189,2022-09-20,Communication Skills,External,Completed,Cabreramouth,Angela Hammond,1,202.74
1190,2023-05-21,Project Management,External,Failed,Phillipsfurt,Debbie Miller,4,727.81
1191,2022-09-23,Customer Service,Internal,Completed,Lake Benjamin,Kenneth Kim,2,820.39
1192,2022-10-11,Leadership Development,External,Passed,Smithbury,Amber Gonzalez,4,111.94
1193,2023-05-05,Technical Skills,External,Failed,North Victorstad,Amy Bush,1,231.96
1194,2023-05-07,Communication Skills,Internal,Completed,Floresville,Kevin Welch,2,430.92
1195,2023-07-06,Technical Skills,Internal,Failed,East Jason,Autumn Harris,3,638.7
1196,2023-02-28,Communication Skills,Internal,Completed,New Caroline,Jeffrey Marshall,5,355.3
1197,2023-02-25,Technical Skills,Internal,Passed,Debramouth,Alan Hall,5,575.1
1198,2023-06-19,Project Management,Internal,Failed,North Yvonne,Jennifer Hayes,1,140.82
1199,2022-11-28,Leadership Development,External,Passed,Claytonstad,Christopher Owen,2,663.19
1200,2023-07-29,Project Management,Internal,Incomplete,South Brendabury,Zachary Alvarez,2,996.77
1201,2022-10-10,Communication Skills,External,Passed,Edwardborough,Paul Henderson,2,145.39
1202,2022-12-08,Technical Skills,Internal,Incomplete,Connerborough,Kelly Thompson DDS,1,344.74
1203,2022-10-12,Project Management,External,Incomplete,Ramirezville,Jennifer Miller,5,308.09
1204,2023-07-16,Project Management,External,Incomplete,Isaiahview,Courtney Mendez,1,610.96
1205,2023-08-01,Communication Skills,External,Failed,East Loriberg,Nicole Kelley,3,201.83
1206,2023-07-20,Technical Skills,Internal,Passed,Smithstad,Jackie Johnson,5,391.85
1207,2022-12-07,Communication Skills,Internal,Completed,East Michaelfort,Kathryn Stephens,5,682.36
1208,2022-09-20,Leadership Development,Internal,Passed,Josephside,Sean Jones,3,492.39
1209,2023-06-18,Communication Skills,External,Failed,Kruegerville,Emily Pierce,2,197.78
1210,2023-01-09,Leadership Development,External,Incomplete,Port Cynthia,Thomas Baker,4,485.44
1211,2023-07-30,Leadership Development,External,Passed,South Robinhaven,Kendra Rodriguez,3,557.34
1212,2023-05-03,Project Management,Internal,Failed,East Frank,Kimberly May,5,817.92
1213,2023-02-15,Project Management,External,Failed,Johnsonton,Katelyn Ruiz,4,485.39
1214,2023-04-02,Customer Service,Internal,Completed,West Jessica,Bobby Stuart,3,145.13
1215,2022-09-13,Communication Skills,External,Passed,West Dianashire,Brian Thompson,4,751.88
1216,2023-07-16,Leadership Development,External,Incomplete,Roweport,Carolyn Hamilton,1,136.48
1217,2023-04-17,Customer Service,External,Completed,Jeremytown,Eric Clark,1,857.42
1218,2023-01-30,Leadership Development,Internal,Failed,Henryberg,Erica Winters,3,733.16
1219,2022-09-15,Communication Skills,External,Failed,West Kevintown,Steven Gutierrez,5,761.31
1220,2023-06-29,Leadership Development,External,Passed,West Brittney,Johnathan Doyle,1,920.41
1221,2022-08-25,Customer Service,Internal,Passed,Bonnieborough,Linda Wood,4,167.69
1222,2023-03-10,Leadership Development,External,Passed,New Jennifer,Melanie Johnson,2,931.45
1223,2022-08-30,Project Management,External,Completed,Estradahaven,Daniel Harrison,1,474.36
1224,2023-03-18,Project Management,Internal,Incomplete,Port Eric,Jeffrey Harvey,5,598.72
1225,2022-08-14,Customer Service,Internal,Completed,Brownland,Douglas Norton,5,557.02
1226,2023-05-20,Customer Service,Internal,Completed,Savageton,Lisa Hall,3,939.92
1227,2023-05-15,Communication Skills,External,Failed,Amandahaven,Gregory Pratt,3,669.19
1228,2022-10-05,Technical Skills,Internal,Failed,Dustinshire,Bethany Willis,5,525.69
1229,2023-01-11,Customer Service,External,Failed,Lake Melissa,Angela Moore,1,173.66
1230,2023-04-30,Communication Skills,External,Completed,New Reneefurt,Emily Tate,1,635.71
1231,2022-08-06,Project Management,External,Passed,Port Aliciaview,Douglas Dean,1,896.8
1232,2022-11-30,Leadership Development,Internal,Incomplete,East Katieport,Jill Fox DVM,4,857.61
1233,2022-11-29,Customer Service,Internal,Failed,Robertfurt,Jennifer Turner MD,3,460.59
1234,2023-02-19,Leadership Development,Internal,Passed,Meganside,Michael Butler,1,504.82
1235,2023-04-10,Project Management,Internal,Failed,Cookebury,Roberto Brennan,3,737.91
1236,2023-04-17,Customer Service,External,Passed,Williamsbury,Gerald Wilson,2,244.25
1237,2022-11-11,Leadership Development,External,Passed,Cervantesshire,Catherine Henderson,2,762.82
1238,2022-11-14,Leadership Development,Internal,Incomplete,West Marialand,Vanessa Valdez,2,640.14
1239,2023-04-28,Project Management,Internal,Incomplete,East Alyssa,Melanie Middleton,3,726.03
1240,2023-01-04,Communication Skills,External,Passed,East Nicoletown,Stacy Morton,5,758.75
1241,2023-02-01,Project Management,External,Failed,Lewismouth,Susan Johnson,5,878.94
1242,2023-03-14,Project Management,External,Passed,East Chaseside,Daniel Holt,3,227.9
1243,2023-02-05,Communication Skills,Internal,Incomplete,Ericmouth,Christopher Jones,3,855.27
1244,2023-02-18,Technical Skills,External,Incomplete,Mcmahonton,Charles Farrell,5,170.62
1245,2023-06-29,Communication Skills,Internal,Incomplete,Hallton,Garrett Johnson,4,392.14
1246,2022-12-25,Communication Skills,Internal,Completed,Joneston,Kathleen Dixon,1,206.93
1247,2022-12-09,Customer Service,External,Completed,East Michaelside,Stephanie Bruce,5,307.13
1248,2022-08-24,Communication Skills,Internal,Passed,Ellisonchester,Nicholas Ryan,4,165.05
1249,2022-08-15,Communication Skills,Internal,Completed,Cruzmouth,Cheyenne Rice,4,371.27
1250,2023-04-28,Communication Skills,External,Incomplete,Margaretmouth,Anna Floyd,3,366.78
1251,2023-02-04,Communication Skills,External,Failed,Nancyside,Wyatt Hansen,5,205.92
1252,2022-11-20,Leadership Development,Internal,Completed,South Brent,Alicia Moore,1,314.51
1253,2023-06-03,Customer Service,Internal,Completed,South Cynthia,Jodi Gibson DDS,2,793.86
1254,2023-04-20,Project Management,Internal,Passed,Allisonport,Ryan Adkins,3,252.53
1255,2022-10-23,Customer Service,External,Passed,West Laurafort,Jasmin Flynn,2,693.25
1256,2023-05-26,Project Management,Internal,Completed,Lake Derekburgh,Kenneth Rodriguez,4,926.76
1257,2023-05-23,Technical Skills,Internal,Failed,New Elizabethton,Ryan King,1,694.61
1258,2023-06-30,Project Management,Internal,Incomplete,Alyssabury,Cody Brown,1,732.02
1259,2023-01-04,Leadership Development,Internal,Completed,Port Troyton,Wayne Morgan,1,897.62
1260,2022-11-21,Leadership Development,Internal,Completed,Port Rachelshire,Michael Smith,2,786.57
1261,2023-07-26,Project Management,External,Incomplete,Thompsonberg,Alicia Dunn,3,613.93
1262,2023-01-17,Communication Skills,Internal,Passed,Lake Nancy,Donald Gregory,2,711.8
1263,2023-03-03,Communication Skills,Internal,Failed,Port Jason,Larry Yang,5,784.1
1264,2023-05-16,Customer Service,Internal,Failed,Port Jameschester,Alexandra Riley,5,509.67
1265,2023-06-15,Leadership Development,Internal,Incomplete,Rebeccamouth,Stephen Mcdonald,4,494.96
1266,2023-03-30,Project Management,Internal,Incomplete,East Christopher,Melissa Brown,5,465.72
1267,2023-02-27,Technical Skills,Internal,Failed,Lewisview,Paul Martin,1,507.43
1268,2023-05-25,Project Management,External,Passed,North Duanemouth,Stephanie Anderson,5,401.97
1269,2022-12-23,Customer Service,External,Passed,Lake Kevin,Tommy Wilson,4,813.9
1270,2022-08-21,Leadership Development,External,Completed,South Michael,Carrie Anderson,2,360.02
1271,2023-02-15,Customer Service,Internal,Completed,North Sheila,Gina White,3,692.71
1272,2023-02-24,Technical Skills,Internal,Failed,Jonesside,Michelle Holmes,3,233.12
1273,2023-05-24,Technical Skills,External,Incomplete,New Seanberg,Sharon Park,1,881.48
1274,2023-05-22,Project Management,Internal,Passed,West Deanna,Curtis Price,2,448.48
1275,2023-06-13,Communication Skills,External,Incomplete,Port Michellechester,Amber Church,3,288.88
1276,2023-07-15,Communication Skills,Internal,Failed,East Katherine,Chris Clark,1,572.45
1277,2023-03-27,Communication Skills,Internal,Passed,Reneeshire,Sandra Russell,3,141.38
1278,2023-02-04,Technical Skills,Internal,Incomplete,Lake Bryan,Donna Barr,1,331.46
1279,2022-11-23,Technical Skills,Internal,Incomplete,New Rachelfort,Jose Mcdaniel,4,704.93
1280,2023-06-08,Leadership Development,External,Completed,Evanhaven,Robert Novak,4,450.65
1281,2023-01-31,Project Management,External,Completed,Andrewsfurt,Sarah Walker,3,775.97
1282,2023-02-20,Leadership Development,External,Passed,Glennberg,Jasmine Conner,4,376.0
1283,2023-01-17,Customer Service,External,Failed,Christopherport,Karen Thomas,2,106.54
1284,2022-11-10,Communication Skills,External,Completed,New Johnstad,Richard Rogers,1,852.87
1285,2022-11-08,Project Management,External,Completed,Port Robertmouth,Jessica Wallace,4,469.03
1286,2023-05-28,Customer Service,Internal,Incomplete,West John,Shannon Taylor,2,274.85
1287,2023-03-31,Technical Skills,External,Completed,Patrickfort,Charles Olson,1,342.57
1288,2023-05-13,Technical Skills,External,Incomplete,North Danielle,Dana Neal,5,948.31
1289,2022-10-08,Leadership Development,Internal,Incomplete,Campbellmouth,Steven Sanchez,3,900.52
1290,2023-05-14,Leadership Development,External,Completed,East Denisechester,Alyssa Williams,4,140.72
1291,2022-09-12,Technical Skills,Internal,Passed,Williamburgh,Leslie Clark,3,913.62
1292,2023-02-22,Customer Service,Internal,Completed,Jessicatown,Stephanie Johnson,5,950.3
1293,2023-03-12,Project Management,Internal,Passed,Martinton,Cynthia Patton,2,668.77
1294,2022-08-15,Technical Skills,Internal,Passed,Michellemouth,Robin Lewis,3,906.05
1295,2023-01-03,Communication Skills,Internal,Incomplete,Starkmouth,Timothy Santos,5,689.77
1296,2023-03-05,Communication Skills,External,Passed,Clarkfort,Michael Gray,2,694.27
1297,2023-06-14,Project Management,External,Passed,New Joshuaton,Penny Lopez,3,352.75
1298,2023-05-16,Project Management,Internal,Passed,Dudleyfurt,Kayla Cruz,3,411.17
1299,2023-01-21,Project Management,External,Completed,Atkinsonborough,Karen Ritter,3,358.81
1300,2023-04-29,Technical Skills,Internal,Passed,Greentown,Jose Young,4,588.64
1301,2022-09-22,Communication Skills,Internal,Incomplete,Ellenburgh,Linda Bell,1,472.18
1302,2022-08-20,Project Management,Internal,Passed,South Jennifer,Jennifer Thornton,2,758.79
1303,2023-06-02,Leadership Development,Internal,Failed,Moorehaven,Zoe Vasquez,3,921.81
1304,2023-01-16,Communication Skills,External,Completed,Jayfort,Ariel Brown,3,405.08
1305,2023-07-08,Technical Skills,Internal,Failed,Lake Jaredstad,Stephen West,3,784.22
1306,2023-07-13,Technical Skills,External,Failed,North Ashleytown,Donald Anderson,4,443.99
