department_id,business_unit,department_type,division_description,is_deleted,created_at
73,TNS,Sales,Engineers,False,2026-09-09 19:39:37
74,PL,Sales,Fielders,False,2026-09-09 19:39:37
75,CCDR,Sales,Splicing,False,2026-09-09 19:39:37
76,EW,IT/IS,Field Operations,False,2026-09-09 19:39:37
77,BPC,Sales,Project Management - Eng,False,2026-09-09 19:39:37
78,SVG,Sales,Wireline Construction,False,2026-09-09 19:39:37
79,PYZ,Sales,Engineers,False,2026-09-09 19:39:37
80,MSC,Sales,People Services,False,2026-09-09 19:39:37
81,MSC,Production,Yard (Material Handling),False,2026-09-09 19:39:37
82,NEL,Production,Field Operations,False,2026-09-09 19:39:37
83,MSC,Production,Field Operations,False,2026-09-09 19:39:37
84,BPC,Production,General - Con,False,2026-09-09 19:39:37
85,CCDR,Production,Shop (Fleet),False,2026-09-09 19:39:37
86,WBL,Production,Field Operations,False,2026-09-09 19:39:37
87,SVG,Production,Aerial,False,2026-09-09 19:39:37
88,WBL,Production,General - Con,False,2026-09-09 19:39:37
89,PL,Production,Aerial,False,2026-09-09 19:39:37
90,EW,Production,General - Sga,False,2026-09-09 19:39:37
91,EW,Production,Field Operations,False,2026-09-09 19:39:37
92,MSC,Production,Catv,False,2026-09-09 19:39:37
93,TNS,Production,Fielders,False,2026-09-09 19:39:37
94,WBL,Production,Fielders,False,2026-09-09 19:39:37
95,WBL,Production,Underground,False,2026-09-09 19:39:37
96,PL,Production,Engineers,False,2026-09-09 19:39:37
97,BPC,Production,Field Operations,False,2026-09-09 19:39:37
98,PYZ,Production,Field Operations,False,2026-09-09 19:39:37
99,SVG,Production,Wireline Construction,False,2026-09-09 19:39:37
100,TNS,Production,Yard (Material Handling),False,2026-09-09 19:39:37
101,CCDR,Production,Yard (Material Handling),False,2026-09-09 19:39:37
102,EW,Production,People Services,False,2026-09-09 19:39:37
103,MSC,Production,General - Eng,False,2026-09-09 19:39:37
104,NEL,Production,Shop (Fleet),False,2026-09-09 19:39:37
105,PL,Production,Field Operations,False,2026-09-09 19:39:37
106,SVG,Production,Field Operations,False,2026-09-09 19:39:37
107,TNS,Production,Field Operations,False,2026-09-09 19:39:37
108,WBL,Production,Engineers,False,2026-09-09 19:39:37
109,NEL,Production,Splicing,False,2026-09-09 19:39:37
110,PYZ,Production,General - Con,False,2026-09-09 19:39:37
111,SVG,Production,Project Management - Eng,False,2026-09-09 19:39:37
112,TNS,Production,General - Con,False,2026-09-09 19:39:37
113,BPC,Production,Wireline Construction,False,2026-09-09 19:39:37
114,CCDR,Production,Engineers,False,2026-09-09 19:39:37
115,SVG,Production,Billable Consultants,False,2026-09-09 19:39:37
116,EW,Production,Project Management - Con,False,2026-09-09 19:39:37
117,TNS,Production,Shop (Fleet),False,2026-09-09 19:39:37
118,WBL,Production,Project Management - Con,False,2026-09-09 19:39:37
119,BPC,Production,Project Management - Con,False,2026-09-09 19:39:37
120,CCDR,Production,General - Con,False,2026-09-09 19:39:37
121,SVG,Production,General - Con,False,2026-09-09 19:39:37
122,EW,Production,Wireline Construction,False,2026-09-09 19:39:37
123,MSC,Production,Splicing,False,2026-09-09 19:39:37
124,PYZ,Production,General - Eng,False,2026-09-09 19:39:37
125,WBL,Production,Wireless,False,2026-09-09 19:39:37
126,EW,Production,Engineers,False,2026-09-09 19:39:37
127,MSC,Production,Technology / It,False,2026-09-09 19:39:37
128,TNS,Production,Engineers,False,2026-09-09 19:39:37
129,NEL,Production,Engineers,False,2026-09-09 19:39:37
130,CCDR,Production,Field Operations,False,2026-09-09 19:39:37
131,BPC,Production,Aerial,False,2026-09-09 19:39:37
132,PYZ,Production,General - Sga,False,2026-09-09 19:39:37
133,WBL,Production,Yard (Material Handling),False,2026-09-09 19:39:37
134,NEL,Production,Catv,False,2026-09-09 19:39:37
135,EW,Production,General - Con,False,2026-09-09 19:39:37
136,TNS,Production,Catv,False,2026-09-09 19:39:37
137,SVG,Production,Splicing,False,2026-09-09 19:39:37
138,MSC,Production,Aerial,False,2026-09-09 19:39:37
139,PL,Production,General - Con,False,2026-09-09 19:39:37
140,PYZ,Production,Aerial,False,2026-09-09 19:39:37
141,SVG,Production,Engineers,False,2026-09-09 19:39:37
142,TNS,Production,Underground,False,2026-09-09 19:39:37
143,MSC,Production,Executive,False,2026-09-09 19:39:37
144,NEL,Production,Wireline Construction,False,2026-09-09 19:39:37
145,WBL,Production,Billable Consultants,False,2026-09-09 19:39:37
146,BPC,Production,Underground,False,2026-09-09 19:39:37
147,EW,Production,Splicing,False,2026-09-09 19:39:37
148,MSC,Production,General - Con,False,2026-09-09 19:39:37
149,TNS,Production,People Services,False,2026-09-09 19:39:37
150,BPC,Production,Engineers,False,2026-09-09 19:39:37
151,BPC,Production,Yard (Material Handling),False,2026-09-09 19:39:37
152,SVG,Production,General - Eng,False,2026-09-09 19:39:37
153,MSC,Production,Underground,False,2026-09-09 19:39:37
154,WBL,Production,Finance & Accounting,False,2026-09-09 19:39:37
155,PL,Production,Project Management - Con,False,2026-09-09 19:39:37
156,TNS,Production,Finance & Accounting,False,2026-09-09 19:39:37
157,SVG,Production,Project Management - Con,False,2026-09-09 19:39:37
158,TNS,Production,Wireless,False,2026-09-09 19:39:37
159,WBL,Production,Catv,False,2026-09-09 19:39:37
160,PYZ,Production,Engineers,False,2026-09-09 19:39:37
161,PL,Production,Wireline Construction,False,2026-09-09 19:39:37
162,BPC,Production,General - Sga,False,2026-09-09 19:39:37
163,SVG,Production,Fielders,False,2026-09-09 19:39:37
164,PYZ,Production,Splicing,False,2026-09-09 19:39:37
165,NEL,Production,Finance & Accounting,False,2026-09-09 19:39:37
166,NEL,Production,Fielders,False,2026-09-09 19:39:37
167,TNS,Production,Splicing,False,2026-09-09 19:39:37
168,CCDR,Production,Fielders,False,2026-09-09 19:39:37
169,PL,Production,Technology / It,False,2026-09-09 19:39:37
170,PYZ,Production,Wireless,False,2026-09-09 19:39:37
171,MSC,Production,People Services,False,2026-09-09 19:39:37
172,NEL,Production,Aerial,False,2026-09-09 19:39:37
173,BPC,Production,Shop (Fleet),False,2026-09-09 19:39:37
174,CCDR,Production,Technology / It,False,2026-09-09 19:39:37
175,EW,Production,Project Management - Eng,False,2026-09-09 19:39:37
176,MSC,Production,Engineers,False,2026-09-09 19:39:37
177,TNS,Production,Aerial,False,2026-09-09 19:39:37
178,WBL,Production,Project Management - Eng,False,2026-09-09 19:39:37
179,NEL,Production,Project Management - Con,False,2026-09-09 19:39:37
180,PL,Production,Executive,False,2026-09-09 19:39:37
181,CCDR,Production,Aerial,False,2026-09-09 19:39:37
182,EW,Production,Yard (Material Handling),False,2026-09-09 19:39:37
183,CCDR,Production,General - Sga,False,2026-09-09 19:39:37
184,EW,Production,Finance & Accounting,False,2026-09-09 19:39:37
185,MSC,Production,General - Sga,False,2026-09-09 19:39:37
186,PYZ,Production,Yard (Material Handling),False,2026-09-09 19:39:37
187,SVG,Production,Catv,False,2026-09-09 19:39:37
188,PYZ,Production,Fielders,False,2026-09-09 19:39:37
189,NEL,Production,General - Con,False,2026-09-09 19:39:37
190,WBL,Production,General - Eng,False,2026-09-09 19:39:37
191,PYZ,Production,Shop (Fleet),False,2026-09-09 19:39:37
192,EW,Production,Fielders,False,2026-09-09 19:39:37
193,CCDR,Production,Splicing,False,2026-09-09 19:39:37
194,SVG,Production,General - Sga,False,2026-09-09 19:39:37
195,WBL,Production,Wireline Construction,False,2026-09-09 19:39:37
196,EW,Production,Catv,False,2026-09-09 19:39:37
197,TNS,Production,Executive,False,2026-09-09 19:39:37
198,PYZ,IT/IS,General - Sga,False,2026-09-09 19:39:37
199,TNS,IT/IS,Field Operations,False,2026-09-09 19:39:37
200,PL,IT/IS,General - Sga,False,2026-09-09 19:39:37
201,PL,IT/IS,Fielders,False,2026-09-09 19:39:37
202,BPC,IT/IS,General - Eng,False,2026-09-09 19:39:37
203,SVG,IT/IS,Engineers,False,2026-09-09 19:39:37
204,EW,IT/IS,Engineers,False,2026-09-09 19:39:37
205,SVG,IT/IS,Project Management - Con,False,2026-09-09 19:39:37
206,WBL,IT/IS,Field Operations,False,2026-09-09 19:39:37
207,CCDR,IT/IS,General - Con,False,2026-09-09 19:39:37
208,CCDR,IT/IS,Wireless,False,2026-09-09 19:39:37
209,MSC,IT/IS,Aerial,False,2026-09-09 19:39:37
210,EW,IT/IS,General - Con,False,2026-09-09 19:39:37
211,WBL,Executive Office,General - Con,False,2026-09-09 19:39:37
212,TNS,Executive Office,Shop (Fleet),False,2026-09-09 19:39:37
213,SVG,IT/IS,General - Sga,False,2026-09-09 19:39:37
214,PL,IT/IS,Field Operations,False,2026-09-09 19:39:37
215,NEL,IT/IS,General - Eng,False,2026-09-09 19:39:37
216,PL,IT/IS,Aerial,False,2026-09-09 19:39:37
217,BPC,IT/IS,Project Management - Con,False,2026-09-09 19:39:37
218,CCDR,IT/IS,Field Operations,False,2026-09-09 19:39:37
219,SVG,IT/IS,Field Operations,False,2026-09-09 19:39:37
220,EW,IT/IS,Project Management - Eng,False,2026-09-09 19:39:37
221,PYZ,Executive Office,Field Operations,False,2026-09-09 19:39:37
222,WBL,Executive Office,Field Operations,False,2026-09-09 19:39:37
223,NEL,IT/IS,Yard (Material Handling),False,2026-09-09 19:39:37
224,PL,IT/IS,General - Con,False,2026-09-09 19:39:37
225,BPC,IT/IS,Finance & Accounting,False,2026-09-09 19:39:37
226,BPC,IT/IS,Field Operations,False,2026-09-09 19:39:37
227,CCDR,IT/IS,Wireline Construction,False,2026-09-09 19:39:37
228,SVG,IT/IS,Aerial,False,2026-09-09 19:39:37
229,PYZ,Executive Office,General - Con,False,2026-09-09 19:39:37
230,NEL,IT/IS,Wireline Construction,False,2026-09-09 19:39:37
231,MSC,IT/IS,Yard (Material Handling),False,2026-09-09 19:39:37
232,NEL,IT/IS,Executive,False,2026-09-09 19:39:37
233,WBL,Executive Office,Technology / It,False,2026-09-09 19:39:37
234,WBL,Executive Office,People Services,False,2026-09-09 19:39:37
235,TNS,Executive Office,Wireline Construction,False,2026-09-09 19:39:37
236,SVG,IT/IS,Fielders,False,2026-09-09 19:39:37
237,PYZ,IT/IS,Engineers,False,2026-09-09 19:39:37
238,NEL,IT/IS,Catv,False,2026-09-09 19:39:37
239,CCDR,IT/IS,Aerial,False,2026-09-09 19:39:37
240,MSC,Production,Sales & Marketing,False,2026-09-09 19:39:37
241,TNS,Executive Office,Field Operations,False,2026-09-09 19:39:37
242,PYZ,Executive Office,Catv,False,2026-09-09 19:39:37
243,WBL,IT/IS,Finance & Accounting,False,2026-09-09 19:39:37
244,NEL,IT/IS,Field Operations,False,2026-09-09 19:39:37
245,PL,IT/IS,Project Management - Con,False,2026-09-09 19:39:37
246,BPC,IT/IS,General - Con,False,2026-09-09 19:39:37
247,CCDR,IT/IS,Engineers,False,2026-09-09 19:39:37
248,BPC,IT/IS,Underground,False,2026-09-09 19:39:37
249,MSC,Executive Office,General - Con,False,2026-09-09 19:39:37
250,TNS,Executive Office,Engineers,False,2026-09-09 19:39:37
251,WBL,IT/IS,General - Con,False,2026-09-09 19:39:37
252,PL,IT/IS,Wireless,False,2026-09-09 19:39:37
253,MSC,IT/IS,Wireless,False,2026-09-09 19:39:37
254,NEL,IT/IS,General - Con,False,2026-09-09 19:39:37
255,PL,IT/IS,Engineers,False,2026-09-09 19:39:37
256,TNS,Executive Office,General - Con,False,2026-09-09 19:39:37
257,BPC,IT/IS,Engineers,False,2026-09-09 19:39:37
258,NEL,IT/IS,Splicing,False,2026-09-09 19:39:37
259,NEL,IT/IS,Aerial,False,2026-09-09 19:39:37
260,EW,Executive Office,Project Management - Eng,False,2026-09-09 19:39:37
261,MSC,Executive Office,Wireline Construction,False,2026-09-09 19:39:37
262,WBL,IT/IS,Billable Consultants,False,2026-09-09 19:39:37
263,BPC,IT/IS,Splicing,False,2026-09-09 19:39:37
264,CCDR,IT/IS,General - Eng,False,2026-09-09 19:39:37
265,WBL,IT/IS,Wireless,False,2026-09-09 19:39:37
266,SVG,Executive Office,Engineers,False,2026-09-09 19:39:37
267,WBL,IT/IS,Aerial,False,2026-09-09 19:39:37
268,BPC,IT/IS,Wireless,False,2026-09-09 19:39:37
269,SVG,Executive Office,Aerial,False,2026-09-09 19:39:37
270,TNS,IT/IS,General - Con,False,2026-09-09 19:39:37
271,WBL,IT/IS,Wireline Construction,False,2026-09-09 19:39:37
272,EW,IT/IS,General - Eng,False,2026-09-09 19:39:37
273,MSC,IT/IS,Engineers,False,2026-09-09 19:39:37
274,MSC,IT/IS,General - Sga,False,2026-09-09 19:39:37
275,PYZ,IT/IS,Catv,False,2026-09-09 19:39:37
276,NEL,IT/IS,Shop (Fleet),False,2026-09-09 19:39:37
277,SVG,IT/IS,General - Con,False,2026-09-09 19:39:37
278,CCDR,IT/IS,Fielders,False,2026-09-09 19:39:37
279,MSC,IT/IS,Wireline Construction,False,2026-09-09 19:39:37
280,EW,IT/IS,Finance & Accounting,False,2026-09-09 19:39:37
281,EW,IT/IS,General - Sga,False,2026-09-09 19:39:37
282,MSC,IT/IS,Field Operations,False,2026-09-09 19:39:37
283,NEL,Software Engineering,Field Operations,False,2026-09-09 19:39:37
284,MSC,IT/IS,Finance & Accounting,False,2026-09-09 19:39:37
285,NEL,IT/IS,Engineers,False,2026-09-09 19:39:37
286,TNS,IT/IS,Wireline Construction,False,2026-09-09 19:39:37
287,WBL,IT/IS,Technology / It,False,2026-09-09 19:39:37
288,EW,IT/IS,Wireline Construction,False,2026-09-09 19:39:37
289,MSC,IT/IS,People Services,False,2026-09-09 19:39:37
290,TNS,IT/IS,Catv,False,2026-09-09 19:39:37
291,SVG,IT/IS,Shop (Fleet),False,2026-09-09 19:39:37
292,WBL,IT/IS,Safety,False,2026-09-09 19:39:37
293,SVG,IT/IS,General - Eng,False,2026-09-09 19:39:37
294,MSC,IT/IS,Catv,False,2026-09-09 19:39:37
295,CCDR,IT/IS,Yard (Material Handling),False,2026-09-09 19:39:37
296,BPC,Software Engineering,Engineers,False,2026-09-09 19:39:37
297,NEL,Software Engineering,Catv,False,2026-09-09 19:39:37
298,WBL,Software Engineering,Field Operations,False,2026-09-09 19:39:37
299,PYZ,Software Engineering,Project Management - Con,False,2026-09-09 19:39:37
300,SVG,Software Engineering,Field Operations,False,2026-09-09 19:39:37
301,MSC,Software Engineering,Engineers,False,2026-09-09 19:39:37
302,SVG,Software Engineering,General - Con,False,2026-09-09 19:39:37
303,BPC,Software Engineering,General - Con,False,2026-09-09 19:39:37
304,NEL,Software Engineering,General - Con,False,2026-09-09 19:39:37
305,EW,Software Engineering,Field Operations,False,2026-09-09 19:39:37
306,MSC,Software Engineering,General - Con,False,2026-09-09 19:39:37
307,TNS,Software Engineering,General - Eng,False,2026-09-09 19:39:37
308,PYZ,Software Engineering,Engineers,False,2026-09-09 19:39:37
309,WBL,Software Engineering,Catv,False,2026-09-09 19:39:37
310,NEL,Software Engineering,People Services,False,2026-09-09 19:39:37
311,PL,Admin Offices,Shop (Fleet),False,2026-09-09 19:39:37
312,BPC,Admin Offices,Field Operations,False,2026-09-09 19:39:37
313,CCDR,Admin Offices,General - Con,False,2026-09-09 19:39:37
314,EW,Software Engineering,Fielders,False,2026-09-09 19:39:37
315,MSC,Software Engineering,Field Operations,False,2026-09-09 19:39:37
316,PYZ,Software Engineering,Field Operations,False,2026-09-09 19:39:37
317,WBL,Software Engineering,General - Con,False,2026-09-09 19:39:37
318,NEL,Software Engineering,Fielders,False,2026-09-09 19:39:37
319,PL,Admin Offices,Field Operations,False,2026-09-09 19:39:37
320,BPC,Admin Offices,Engineers,False,2026-09-09 19:39:37
321,PYZ,Software Engineering,General - Con,False,2026-09-09 19:39:37
322,TNS,Software Engineering,Field Operations,False,2026-09-09 19:39:37
323,PYZ,Software Engineering,Aerial,False,2026-09-09 19:39:37
324,NEL,Software Engineering,Project Management - Con,False,2026-09-09 19:39:37
325,PL,Admin Offices,Underground,False,2026-09-09 19:39:37
326,CCDR,Software Engineering,Fielders,False,2026-09-09 19:39:37
327,EW,Software Engineering,Finance & Accounting,False,2026-09-09 19:39:37
328,TNS,Software Engineering,Engineers,False,2026-09-09 19:39:37
329,WBL,Software Engineering,Splicing,False,2026-09-09 19:39:37
330,PL,Admin Offices,Catv,False,2026-09-09 19:39:37
331,CCDR,Software Engineering,Underground,False,2026-09-09 19:39:37
332,EW,Software Engineering,General - Con,False,2026-09-09 19:39:37
333,TNS,Software Engineering,Finance & Accounting,False,2026-09-09 19:39:37
334,PL,Software Engineering,Engineers,False,2026-09-09 19:39:37
335,SVG,Software Engineering,Wireline Construction,False,2026-09-09 19:39:37
336,TNS,Software Engineering,Wireline Construction,False,2026-09-09 19:39:37
337,WBL,Software Engineering,Billable Consultants,False,2026-09-09 19:39:37
338,CCDR,Software Engineering,General - Con,False,2026-09-09 19:39:37
339,EW,Software Engineering,General - Sga,False,2026-09-09 19:39:37
340,CCDR,Software Engineering,Aerial,False,2026-09-09 19:39:37
341,EW,Software Engineering,Engineers,False,2026-09-09 19:39:37
342,MSC,Software Engineering,Catv,False,2026-09-09 19:39:37
343,PYZ,Software Engineering,Wireline Construction,False,2026-09-09 19:39:37
344,NEL,Software Engineering,General - Sga,False,2026-09-09 19:39:37
345,PL,Software Engineering,Field Operations,False,2026-09-09 19:39:37
346,BPC,Software Engineering,Field Operations,False,2026-09-09 19:39:37
347,CCDR,Software Engineering,Field Operations,False,2026-09-09 19:39:37
348,MSC,Software Engineering,General - Eng,False,2026-09-09 19:39:37
349,TNS,Software Engineering,Wireless,False,2026-09-09 19:39:37
350,WBL,Software Engineering,Project Management - Eng,False,2026-09-09 19:39:37
351,NEL,Software Engineering,Aerial,False,2026-09-09 19:39:37
352,PL,Software Engineering,Executive,False,2026-09-09 19:39:37
353,BPC,Software Engineering,Wireline Construction,False,2026-09-09 19:39:37
354,PL,Production,General - Eng,False,2026-09-09 19:39:37
355,BPC,Production,Splicing,False,2026-09-09 19:39:37
356,CCDR,Production,People Services,False,2026-09-09 19:39:37
357,WBL,Production,Aerial,False,2026-09-09 19:39:37
358,SVG,Production,Technology / It,False,2026-09-09 19:39:37
359,PL,Production,Billable Consultants,False,2026-09-09 19:39:37
360,PYZ,Production,Wireline Construction,False,2026-09-09 19:39:37
361,PL,Production,General - Sga,False,2026-09-09 19:39:37
362,CCDR,Production,Underground,False,2026-09-09 19:39:37
363,BPC,Production,Isp,False,2026-09-09 19:39:37
364,SVG,Production,Underground,False,2026-09-09 19:39:37
365,TNS,Production,Wireline Construction,False,2026-09-09 19:39:37
366,WBL,Production,Splicing,False,2026-09-09 19:39:37
367,BPC,Production,Catv,False,2026-09-09 19:39:37
368,CCDR,Production,Wireline Construction,False,2026-09-09 19:39:37
369,WBL,Production,General - Sga,False,2026-09-09 19:39:37
370,NEL,Production,General - Eng,False,2026-09-09 19:39:37
371,PL,Production,Project Management - Eng,False,2026-09-09 19:39:37
372,WBL,Production,Safety,False,2026-09-09 19:39:37
373,MSC,Production,Project Management - Con,False,2026-09-09 19:39:37
374,CCDR,Production,Executive,False,2026-09-09 19:39:37
375,PYZ,Production,Finance & Accounting,False,2026-09-09 19:39:37
376,TNS,Production,Billable Consultants,False,2026-09-09 19:39:37
377,EW,Production,Wireless,False,2026-09-09 19:39:37
378,NEL,Production,Sales & Marketing,False,2026-09-09 19:39:37
379,PYZ,Production,Isp,False,2026-09-09 19:39:37
380,TNS,Production,Project Management - Con,False,2026-09-09 19:39:37
381,CCDR,Production,Project Management - Con,False,2026-09-09 19:39:37
382,NEL,Production,General - Sga,False,2026-09-09 19:39:37
383,CCDR,Production,General - Eng,False,2026-09-09 19:39:37
384,EW,Production,General - Eng,False,2026-09-09 19:39:37
385,TNS,Production,General - Sga,False,2026-09-09 19:39:37
386,NEL,Production,Isp,False,2026-09-09 19:39:37
387,TNS,Production,General - Eng,False,2026-09-09 19:39:37
388,NEL,Admin Offices,Splicing,False,2026-09-09 19:39:37
389,CCDR,Executive Office,Aerial,False,2026-09-09 19:39:37
390,MSC,Admin Offices,Aerial,False,2026-09-09 19:39:37
391,WBL,Admin Offices,Field Operations,False,2026-09-09 19:39:37
392,EW,Admin Offices,Finance & Accounting,False,2026-09-09 19:39:37
393,WBL,Admin Offices,Wireline Construction,False,2026-09-09 19:39:37
394,TNS,Admin Offices,Project Management - Con,False,2026-09-09 19:39:37
395,TNS,Admin Offices,Executive,False,2026-09-09 19:39:37
396,PL,Admin Offices,Aerial,False,2026-09-09 19:39:37
397,MSC,Admin Offices,General - Con,False,2026-09-09 19:39:37
398,TNS,Admin Offices,Engineers,False,2026-09-09 19:39:37
399,PYZ,Admin Offices,General - Eng,False,2026-09-09 19:39:37
400,WBL,Admin Offices,Engineers,False,2026-09-09 19:39:37
401,TNS,Admin Offices,People Services,False,2026-09-09 19:39:37
402,PYZ,Admin Offices,Wireline Construction,False,2026-09-09 19:39:37
403,NEL,IT/IS,Underground,False,2026-09-09 19:39:37
404,TNS,Admin Offices,Field Operations,False,2026-09-09 19:39:37
405,WBL,Admin Offices,General - Con,False,2026-09-09 19:39:37
406,BPC,Admin Offices,Shop (Fleet),False,2026-09-09 19:39:37
407,CCDR,Software Engineering,Engineers,False,2026-09-09 19:39:37
408,EW,Admin Offices,Aerial,False,2026-09-09 19:39:37
409,MSC,Admin Offices,Shop (Fleet),False,2026-09-09 19:39:37
410,TNS,Admin Offices,General - Con,False,2026-09-09 19:39:37
411,PYZ,Admin Offices,Fielders,False,2026-09-09 19:39:37
412,EW,Admin Offices,Safety,False,2026-09-09 19:39:37
413,MSC,Admin Offices,Field Operations,False,2026-09-09 19:39:37
414,PYZ,Admin Offices,Field Operations,False,2026-09-09 19:39:37
415,SVG,Admin Offices,General - Con,False,2026-09-09 19:39:37
416,EW,Admin Offices,Engineers,False,2026-09-09 19:39:37
417,MSC,Admin Offices,Engineers,False,2026-09-09 19:39:37
418,BPC,Admin Offices,Catv,False,2026-09-09 19:39:37
419,BPC,Admin Offices,Aerial,False,2026-09-09 19:39:37
420,EW,Admin Offices,General - Con,False,2026-09-09 19:39:37
421,MSC,Admin Offices,Finance & Accounting,False,2026-09-09 19:39:37
422,WBL,IT/IS,Executive,False,2026-09-09 19:39:37
423,PYZ,Admin Offices,General - Sga,False,2026-09-09 19:39:37
424,EW,Admin Offices,Field Operations,False,2026-09-09 19:39:37
425,PYZ,Admin Offices,Technology / It,False,2026-09-09 19:39:37
426,EW,Admin Offices,Fielders,False,2026-09-09 19:39:37
427,MSC,Admin Offices,General - Sga,False,2026-09-09 19:39:37
428,BPC,Admin Offices,General - Con,False,2026-09-09 19:39:37
429,CCDR,Admin Offices,Field Operations,False,2026-09-09 19:39:37
430,SVG,Admin Offices,Field Operations,False,2026-09-09 19:39:37
431,MSC,Production,Wireless,False,2026-09-09 19:39:37
432,PL,Production,Splicing,False,2026-09-09 19:39:37
433,BPC,Production,Finance & Accounting,False,2026-09-09 19:39:37
434,PYZ,Production,Project Management - Con,False,2026-09-09 19:39:37
435,TNS,Production,Technology / It,False,2026-09-09 19:39:37
436,SVG,Production,Executive,False,2026-09-09 19:39:37
437,CCDR,Production,Safety,False,2026-09-09 19:39:37
