employee_id,leave_type,start_date,end_date,reason,status,decided_by,decided_at,created_at
22,SICK,2026-03-20,2026-03-21,,REJECTED,luca.wang@nexuserp.com,2026-03-17 00:00:00,2026-02-14 00:00:00
23,SICK,2026-02-13,2026-02-14,,APPROVED,tariq.lopez@nexuserp.com,2026-02-05 00:00:00,2026-01-06 00:00:00
24,ANNUAL,2025-10-10,2025-10-15,,APPROVED,jonathan.brown@nexuserp.com,2025-10-01 00:00:00,2025-09-17 00:00:00
24,ANNUAL,2026-09-04,2026-09-06,,APPROVED,jonathan.brown@nexuserp.com,2026-08-23 00:00:00,2026-08-09 00:00:00
26,ANNUAL,2026-05-23,2026-06-01,,APPROVED,mark.patel@nexuserp.com,2026-05-10 00:00:00,2026-04-14 00:00:00
26,ANNUAL,2025-11-09,2025-11-16,,APPROVED,mark.patel@nexuserp.com,2025-11-06 00:00:00,2025-10-12 00:00:00
27,ANNUAL,2025-10-12,2025-10-19,,APPROVED,mark.lee@nexuserp.com,2025-09-24 00:00:00,2025-09-11 00:00:00
27,ANNUAL,2025-05-02,2025-05-09,,APPROVED,mark.lee@nexuserp.com,2025-04-28 00:00:00,2025-03-26 00:00:00
27,ANNUAL,2026-03-17,2026-03-22,,APPROVED,mark.lee@nexuserp.com,2026-03-09 00:00:00,2026-02-21 00:00:00
28,ANNUAL,2025-11-14,2025-11-18,,APPROVED,hugo.jones@nexuserp.com,2025-11-04 00:00:00,2025-10-19 00:00:00
28,ANNUAL,2026-05-06,2026-05-14,,APPROVED,hugo.jones@nexuserp.com,2026-04-17 00:00:00,2026-04-03 00:00:00
28,ANNUAL,2025-10-12,2025-10-20,,APPROVED,hugo.jones@nexuserp.com,2025-10-03 00:00:00,2025-09-18 00:00:00
30,ANNUAL,2026-03-16,2026-03-21,,APPROVED,karen.oliveira2@nexuserp.com,2026-03-11 00:00:00,2026-02-22 00:00:00
30,OTHER,2026-08-28,2026-08-31,,APPROVED,karen.oliveira2@nexuserp.com,2026-08-21 00:00:00,2026-07-30 00:00:00
30,SICK,2026-09-01,2026-09-02,,APPROVED,karen.oliveira2@nexuserp.com,2026-08-22 00:00:00,2026-08-06 00:00:00
31,ANNUAL,2025-07-15,2025-07-21,,REJECTED,steven.laurent@nexuserp.com,2025-07-11 00:00:00,2025-06-07 00:00:00
31,ANNUAL,2025-06-24,2025-07-02,,APPROVED,steven.laurent@nexuserp.com,2025-06-20 00:00:00,2025-05-31 00:00:00
32,SICK,2025-11-28,2025-11-28,,APPROVED,hugo.jones@nexuserp.com,2025-11-24 00:00:00,2025-10-30 00:00:00
32,ANNUAL,2026-07-03,2026-07-12,,APPROVED,hugo.jones@nexuserp.com,2026-06-23 00:00:00,2026-05-29 00:00:00
33,ANNUAL,2024-12-24,2024-12-26,,APPROVED,sara.dubois@nexuserp.com,2024-12-11 00:00:00,2024-11-28 00:00:00
35,OTHER,2026-05-11,2026-05-13,,APPROVED,amanda.martin2@nexuserp.com,2026-05-07 00:00:00,2026-04-13 00:00:00
35,ANNUAL,2025-10-08,2025-10-11,,APPROVED,amanda.martin2@nexuserp.com,2025-09-28 00:00:00,2025-08-30 00:00:00
36,ANNUAL,2026-02-10,2026-02-18,,REJECTED,priya.mitchell@nexuserp.com,2026-02-03 00:00:00,2026-01-06 00:00:00
39,SICK,2026-08-12,2026-08-12,,APPROVED,rayan.flores@nexuserp.com,2026-07-28 00:00:00,2026-07-14 00:00:00
40,ANNUAL,2026-06-22,2026-06-24,,APPROVED,susan.muller@nexuserp.com,2026-06-13 00:00:00,2026-05-29 00:00:00
40,ANNUAL,2025-12-28,2026-01-01,,APPROVED,susan.muller@nexuserp.com,2025-12-15 00:00:00,2025-11-28 00:00:00
40,ANNUAL,2026-04-25,2026-04-28,,APPROVED,susan.muller@nexuserp.com,2026-04-06 00:00:00,2026-03-27 00:00:00
41,ANNUAL,2026-03-17,2026-03-24,,APPROVED,jacob.sato@nexuserp.com,2026-03-10 00:00:00,2026-02-08 00:00:00
41,ANNUAL,2026-06-26,2026-06-29,,APPROVED,jacob.sato@nexuserp.com,2026-06-11 00:00:00,2026-05-22 00:00:00
41,ANNUAL,2025-09-26,2025-10-02,,APPROVED,jacob.sato@nexuserp.com,2025-09-14 00:00:00,2025-08-23 00:00:00
45,SICK,2025-10-28,2025-10-28,,APPROVED,richard.carter@nexuserp.com,2025-10-21 00:00:00,2025-09-25 00:00:00
46,ANNUAL,2026-01-10,2026-01-12,,APPROVED,eric.adams2@nexuserp.com,2025-12-28 00:00:00,2025-12-11 00:00:00
47,ANNUAL,2025-11-30,2025-12-07,,APPROVED,felix.murphy@nexuserp.com,2025-11-22 00:00:00,2025-10-22 00:00:00
49,ANNUAL,2025-10-21,2025-10-28,,APPROVED,adam.roberts@nexuserp.com,2025-10-17 00:00:00,2025-09-12 00:00:00
49,SICK,2026-07-27,2026-07-27,,APPROVED,adam.roberts@nexuserp.com,2026-07-18 00:00:00,2026-06-27 00:00:00
49,ANNUAL,2026-02-06,2026-02-14,,APPROVED,adam.roberts@nexuserp.com,2026-02-03 00:00:00,2026-01-03 00:00:00
52,SICK,2026-08-05,2026-08-07,,APPROVED,elizabeth.russo@nexuserp.com,2026-07-22 00:00:00,2026-07-02 00:00:00
52,ANNUAL,2026-02-23,2026-03-03,,APPROVED,elizabeth.russo@nexuserp.com,2026-02-19 00:00:00,2026-02-01 00:00:00
52,ANNUAL,2026-10-29,2026-11-04,Personal matters,PENDING,,,2026-09-24 00:00:00
53,ANNUAL,2025-09-26,2025-09-28,,APPROVED,hiroshi.scott2@nexuserp.com,2025-09-10 00:00:00,2025-09-03 00:00:00
54,ANNUAL,2026-04-16,2026-04-19,,APPROVED,ryan.khalil@nexuserp.com,2026-04-03 00:00:00,2026-03-21 00:00:00
54,ANNUAL,2026-01-14,2026-01-15,,APPROVED,ryan.khalil@nexuserp.com,2025-12-29 00:00:00,2025-12-06 00:00:00
54,ANNUAL,2025-12-02,2025-12-07,,APPROVED,ryan.khalil@nexuserp.com,2025-11-15 00:00:00,2025-11-11 00:00:00
55,ANNUAL,2025-11-21,2025-11-27,,APPROVED,rayan.flores@nexuserp.com,2025-11-15 00:00:00,2025-10-30 00:00:00
55,ANNUAL,2025-11-19,2025-11-21,,APPROVED,rayan.flores@nexuserp.com,2025-10-31 00:00:00,2025-10-15 00:00:00
55,UNPAID,2025-10-26,2025-11-04,,APPROVED,rayan.flores@nexuserp.com,2025-10-08 00:00:00,2025-09-20 00:00:00
56,SICK,2026-05-01,2026-05-03,,APPROVED,amira.muller@nexuserp.com,2026-04-24 00:00:00,2026-03-25 00:00:00
57,ANNUAL,2025-11-22,2025-11-23,,APPROVED,andrew.smith@nexuserp.com,2025-11-13 00:00:00,2025-10-23 00:00:00
57,ANNUAL,2026-08-10,2026-08-15,,APPROVED,andrew.smith@nexuserp.com,2026-07-25 00:00:00,2026-07-20 00:00:00
58,ANNUAL,2025-08-09,2025-08-11,,REJECTED,hugo.jones@nexuserp.com,2025-07-25 00:00:00,2025-07-07 00:00:00
58,ANNUAL,2026-03-02,2026-03-04,,APPROVED,hugo.jones@nexuserp.com,2026-02-14 00:00:00,2026-02-01 00:00:00
58,ANNUAL,2025-03-18,2025-03-25,,APPROVED,hugo.jones@nexuserp.com,2025-03-01 00:00:00,2025-02-19 00:00:00
60,OTHER,2025-10-03,2025-10-12,,APPROVED,mark.lee@nexuserp.com,2025-09-20 00:00:00,2025-09-05 00:00:00
60,ANNUAL,2026-09-11,2026-09-17,,APPROVED,mark.lee@nexuserp.com,2026-09-06 00:00:00,2026-08-17 00:00:00
60,ANNUAL,2026-04-21,2026-04-28,,APPROVED,mark.lee@nexuserp.com,2026-04-08 00:00:00,2026-03-20 00:00:00
61,ANNUAL,2026-05-15,2026-05-16,,APPROVED,ashley.park@nexuserp.com,2026-05-06 00:00:00,2026-04-20 00:00:00
62,SICK,2026-05-31,2026-06-02,,APPROVED,clara.novak@nexuserp.com,2026-05-15 00:00:00,2026-05-11 00:00:00
62,ANNUAL,2026-05-23,2026-05-24,,APPROVED,clara.novak@nexuserp.com,2026-05-12 00:00:00,2026-04-21 00:00:00
63,ANNUAL,2025-11-16,2025-11-18,,REJECTED,andrew.smith@nexuserp.com,2025-11-02 00:00:00,2025-10-27 00:00:00
63,ANNUAL,2026-05-11,2026-05-16,,APPROVED,andrew.smith@nexuserp.com,2026-04-27 00:00:00,2026-04-15 00:00:00
64,UNPAID,2024-10-09,2024-10-15,,APPROVED,andrew.smith@nexuserp.com,2024-09-23 00:00:00,2024-09-12 00:00:00
65,ANNUAL,2025-07-24,2025-07-30,,APPROVED,paul.moreau@nexuserp.com,2025-07-05 00:00:00,2025-06-24 00:00:00
68,ANNUAL,2026-02-21,2026-02-26,,APPROVED,camille.wang@nexuserp.com,2026-02-09 00:00:00,2026-01-21 00:00:00
68,ANNUAL,2026-06-03,2026-06-12,,APPROVED,camille.wang@nexuserp.com,2026-05-22 00:00:00,2026-05-03 00:00:00
68,SICK,2026-05-21,2026-05-21,,APPROVED,camille.wang@nexuserp.com,2026-05-05 00:00:00,2026-04-25 00:00:00
70,ANNUAL,2025-11-05,2025-11-11,,APPROVED,sarah.thomas@nexuserp.com,2025-10-31 00:00:00,2025-10-02 00:00:00
72,SICK,2026-06-07,2026-06-09,,APPROVED,susan.roberts@nexuserp.com,2026-05-29 00:00:00,2026-05-11 00:00:00
73,ANNUAL,2025-12-20,2025-12-29,,APPROVED,hugo.jones@nexuserp.com,2025-12-16 00:00:00,2025-11-12 00:00:00
74,ANNUAL,2026-04-06,2026-04-09,,REJECTED,adam.roberts@nexuserp.com,2026-04-01 00:00:00,2026-03-11 00:00:00
74,ANNUAL,2026-09-03,2026-09-10,,APPROVED,adam.roberts@nexuserp.com,2026-08-31 00:00:00,2026-08-03 00:00:00
74,ANNUAL,2025-12-28,2026-01-06,,APPROVED,adam.roberts@nexuserp.com,2025-12-10 00:00:00,2025-12-02 00:00:00
76,ANNUAL,2026-05-30,2026-06-07,,REJECTED,karen.lee@nexuserp.com,2026-05-26 00:00:00,2026-05-04 00:00:00
76,ANNUAL,2025-11-04,2025-11-05,,APPROVED,karen.lee@nexuserp.com,2025-10-22 00:00:00,2025-09-29 00:00:00
77,ANNUAL,2025-12-26,2025-12-28,,APPROVED,nancy.singh@nexuserp.com,2025-12-12 00:00:00,2025-12-04 00:00:00
77,ANNUAL,2025-10-08,2025-10-09,,REJECTED,nancy.singh@nexuserp.com,2025-09-24 00:00:00,2025-09-16 00:00:00
77,UNPAID,2026-04-21,2026-04-23,,APPROVED,nancy.singh@nexuserp.com,2026-04-11 00:00:00,2026-03-13 00:00:00
78,ANNUAL,2025-12-29,2026-01-05,,APPROVED,nancy.singh@nexuserp.com,2025-12-19 00:00:00,2025-11-28 00:00:00
78,ANNUAL,2026-04-21,2026-04-29,,APPROVED,nancy.singh@nexuserp.com,2026-04-05 00:00:00,2026-03-28 00:00:00
78,SICK,2026-02-18,2026-02-18,,APPROVED,nancy.singh@nexuserp.com,2026-02-15 00:00:00,2026-01-21 00:00:00
79,ANNUAL,2026-08-21,2026-08-23,,APPROVED,ryan.khalil@nexuserp.com,2026-08-12 00:00:00,2026-07-21 00:00:00
79,ANNUAL,2025-11-21,2025-11-22,,APPROVED,ryan.khalil@nexuserp.com,2025-11-16 00:00:00,2025-10-21 00:00:00
80,ANNUAL,2025-10-07,2025-10-08,,APPROVED,hugo.jones@nexuserp.com,2025-09-28 00:00:00,2025-08-29 00:00:00
81,ANNUAL,2026-01-02,2026-01-08,,APPROVED,susan.roberts@nexuserp.com,2025-12-14 00:00:00,2025-12-12 00:00:00
83,ANNUAL,2026-10-31,2026-11-06,Wedding,PENDING,,,2026-09-26 00:00:00
84,ANNUAL,2026-07-16,2026-07-20,,APPROVED,hugo.jones@nexuserp.com,2026-07-04 00:00:00,2026-06-19 00:00:00
90,ANNUAL,2025-08-15,2025-08-19,,APPROVED,sara.dubois@nexuserp.com,2025-07-30 00:00:00,2025-07-21 00:00:00
95,ANNUAL,2026-10-20,2026-10-24,Personal matters,PENDING,,,2026-09-23 00:00:00
96,SICK,2026-05-24,2026-05-24,,APPROVED,karen.oliveira2@nexuserp.com,2026-05-17 00:00:00,2026-04-19 00:00:00
97,ANNUAL,2026-01-24,2026-01-30,,APPROVED,lea.moreau@nexuserp.com,2026-01-14 00:00:00,2025-12-17 00:00:00
97,ANNUAL,2026-05-12,2026-05-14,,APPROVED,lea.moreau@nexuserp.com,2026-04-26 00:00:00,2026-04-15 00:00:00
100,ANNUAL,2025-10-11,2025-10-15,,APPROVED,adam.roberts@nexuserp.com,2025-10-08 00:00:00,2025-09-12 00:00:00
101,ANNUAL,2026-09-02,2026-09-10,,APPROVED,hugo.jones@nexuserp.com,2026-08-30 00:00:00,2026-08-08 00:00:00
102,SICK,2025-11-04,2025-11-05,,APPROVED,hugo.jones@nexuserp.com,2025-10-19 00:00:00,2025-10-10 00:00:00
102,ANNUAL,2026-11-02,2026-11-06,Moving house,PENDING,,,2026-09-25 00:00:00
103,ANNUAL,2026-04-01,2026-04-02,,APPROVED,kevin.hernandez@nexuserp.com,2026-03-24 00:00:00,2026-03-06 00:00:00
103,ANNUAL,2026-06-15,2026-06-16,,APPROVED,kevin.hernandez@nexuserp.com,2026-06-05 00:00:00,2026-05-18 00:00:00
103,OTHER,2026-03-22,2026-03-29,,APPROVED,kevin.hernandez@nexuserp.com,2026-03-19 00:00:00,2026-03-01 00:00:00
104,OTHER,2026-06-07,2026-06-14,,APPROVED,lucas.laurent@nexuserp.com,2026-05-24 00:00:00,2026-05-17 00:00:00
104,ANNUAL,2026-04-21,2026-04-30,,APPROVED,lucas.laurent@nexuserp.com,2026-04-07 00:00:00,2026-03-17 00:00:00
104,OTHER,2025-12-08,2025-12-15,,APPROVED,lucas.laurent@nexuserp.com,2025-11-29 00:00:00,2025-11-01 00:00:00
105,ANNUAL,2025-12-02,2025-12-10,,APPROVED,karen.oliveira2@nexuserp.com,2025-11-13 00:00:00,2025-11-07 00:00:00
105,ANNUAL,2026-08-13,2026-08-15,,APPROVED,karen.oliveira2@nexuserp.com,2026-08-03 00:00:00,2026-07-05 00:00:00
106,ANNUAL,2026-06-12,2026-06-13,,APPROVED,nicholas.brown2@nexuserp.com,2026-06-09 00:00:00,2026-05-13 00:00:00
107,ANNUAL,2026-07-23,2026-07-28,,APPROVED,joshua.roberts@nexuserp.com,2026-07-10 00:00:00,2026-07-01 00:00:00
110,ANNUAL,2025-11-08,2025-11-13,,APPROVED,wei.wilson@nexuserp.com,2025-10-26 00:00:00,2025-10-16 00:00:00
110,ANNUAL,2026-08-14,2026-08-15,,APPROVED,wei.wilson@nexuserp.com,2026-07-30 00:00:00,2026-07-21 00:00:00
110,SICK,2026-07-27,2026-07-27,,APPROVED,wei.wilson@nexuserp.com,2026-07-14 00:00:00,2026-06-20 00:00:00
112,SICK,2026-04-04,2026-04-06,,APPROVED,samuel.rivera@nexuserp.com,2026-03-26 00:00:00,2026-03-02 00:00:00
113,ANNUAL,2026-02-12,2026-02-21,,APPROVED,kevin.obrien@nexuserp.com,2026-01-25 00:00:00,2026-01-21 00:00:00
113,SICK,2026-04-28,2026-04-29,,APPROVED,kevin.obrien@nexuserp.com,2026-04-09 00:00:00,2026-04-01 00:00:00
113,ANNUAL,2026-07-16,2026-07-21,,APPROVED,kevin.obrien@nexuserp.com,2026-07-02 00:00:00,2026-06-10 00:00:00
116,ANNUAL,2025-12-27,2026-01-04,,APPROVED,mark.chen@nexuserp.com,2025-12-14 00:00:00,2025-12-07 00:00:00
117,ANNUAL,2026-01-14,2026-01-19,,APPROVED,sarah.thomas@nexuserp.com,2026-01-01 00:00:00,2025-12-18 00:00:00
118,ANNUAL,2025-12-19,2025-12-27,,APPROVED,amanda.martin2@nexuserp.com,2025-12-12 00:00:00,2025-11-20 00:00:00
118,ANNUAL,2025-06-11,2025-06-12,,APPROVED,amanda.martin2@nexuserp.com,2025-05-27 00:00:00,2025-05-19 00:00:00
119,ANNUAL,2025-11-06,2025-11-10,,APPROVED,matthew.hernandez@nexuserp.com,2025-11-01 00:00:00,2025-09-28 00:00:00
119,ANNUAL,2026-01-15,2026-01-22,,APPROVED,matthew.hernandez@nexuserp.com,2026-01-06 00:00:00,2025-12-15 00:00:00
120,ANNUAL,2025-12-21,2025-12-24,,APPROVED,mark.lee@nexuserp.com,2025-12-10 00:00:00,2025-11-29 00:00:00
120,ANNUAL,2026-06-18,2026-06-26,,APPROVED,mark.lee@nexuserp.com,2026-06-04 00:00:00,2026-05-25 00:00:00
121,ANNUAL,2026-08-27,2026-09-01,,APPROVED,sandra.dubois@nexuserp.com,2026-08-17 00:00:00,2026-07-26 00:00:00
121,ANNUAL,2026-08-01,2026-08-02,,APPROVED,sandra.dubois@nexuserp.com,2026-07-22 00:00:00,2026-06-25 00:00:00
124,SICK,2026-06-10,2026-06-10,,APPROVED,jennifer.rodriguez@nexuserp.com,2026-06-03 00:00:00,2026-05-10 00:00:00
125,SICK,2026-01-25,2026-01-27,,APPROVED,elena.lee@nexuserp.com,2026-01-19 00:00:00,2026-01-01 00:00:00
126,ANNUAL,2025-10-06,2025-10-13,,APPROVED,hugo.jones@nexuserp.com,2025-09-22 00:00:00,2025-08-28 00:00:00
126,UNPAID,2026-01-26,2026-02-01,,APPROVED,hugo.jones@nexuserp.com,2026-01-21 00:00:00,2025-12-25 00:00:00
128,ANNUAL,2026-07-02,2026-07-04,,APPROVED,hana.lopez@nexuserp.com,2026-06-14 00:00:00,2026-06-09 00:00:00
128,ANNUAL,2026-01-12,2026-01-16,,APPROVED,hana.lopez@nexuserp.com,2025-12-30 00:00:00,2025-12-21 00:00:00
129,SICK,2026-02-19,2026-02-19,,APPROVED,alice.tanaka@nexuserp.com,2026-01-31 00:00:00,2026-01-12 00:00:00
129,ANNUAL,2025-12-12,2025-12-21,,REJECTED,alice.tanaka@nexuserp.com,2025-11-28 00:00:00,2025-11-04 00:00:00
131,ANNUAL,2025-12-29,2025-12-31,,REJECTED,susan.roberts@nexuserp.com,2025-12-16 00:00:00,2025-12-05 00:00:00
131,ANNUAL,2026-01-29,2026-02-03,,APPROVED,susan.roberts@nexuserp.com,2026-01-11 00:00:00,2026-01-01 00:00:00
132,ANNUAL,2025-11-16,2025-11-22,,APPROVED,sharon.muller@nexuserp.com,2025-11-06 00:00:00,2025-10-19 00:00:00
133,ANNUAL,2025-06-10,2025-06-15,,APPROVED,emily.harris@nexuserp.com,2025-06-05 00:00:00,2025-05-21 00:00:00
137,ANNUAL,2025-07-22,2025-07-26,,APPROVED,lea.moreau@nexuserp.com,2025-07-14 00:00:00,2025-06-19 00:00:00
137,ANNUAL,2026-03-02,2026-03-06,,APPROVED,lea.moreau@nexuserp.com,2026-02-18 00:00:00,2026-01-22 00:00:00
138,ANNUAL,2026-08-31,2026-09-01,,APPROVED,timothy.moreau@nexuserp.com,2026-08-24 00:00:00,2026-08-04 00:00:00
139,ANNUAL,2026-09-17,2026-09-18,,APPROVED,priya.mitchell@nexuserp.com,2026-09-09 00:00:00,2026-08-27 00:00:00
139,ANNUAL,2026-03-11,2026-03-16,,APPROVED,priya.mitchell@nexuserp.com,2026-03-03 00:00:00,2026-02-19 00:00:00
139,SICK,2025-12-29,2025-12-30,,APPROVED,priya.mitchell@nexuserp.com,2025-12-19 00:00:00,2025-11-25 00:00:00
141,ANNUAL,2026-06-14,2026-06-23,,APPROVED,hugo.jones@nexuserp.com,2026-05-31 00:00:00,2026-05-17 00:00:00
141,ANNUAL,2026-06-24,2026-07-02,,APPROVED,hugo.jones@nexuserp.com,2026-06-14 00:00:00,2026-05-23 00:00:00
142,ANNUAL,2026-07-14,2026-07-17,,APPROVED,paul.khalil@nexuserp.com,2026-07-03 00:00:00,2026-06-07 00:00:00
142,ANNUAL,2025-08-17,2025-08-26,,APPROVED,paul.khalil@nexuserp.com,2025-08-13 00:00:00,2025-07-20 00:00:00
143,ANNUAL,2026-07-01,2026-07-02,,APPROVED,manon.hernandez@nexuserp.com,2026-06-18 00:00:00,2026-06-09 00:00:00
143,ANNUAL,2026-08-08,2026-08-11,,APPROVED,manon.hernandez@nexuserp.com,2026-07-26 00:00:00,2026-07-09 00:00:00
144,SICK,2026-07-21,2026-07-23,,APPROVED,paul.taylor@nexuserp.com,2026-07-12 00:00:00,2026-06-29 00:00:00
144,ANNUAL,2026-04-01,2026-04-10,,APPROVED,paul.taylor@nexuserp.com,2026-03-24 00:00:00,2026-02-21 00:00:00
144,SICK,2026-02-06,2026-02-07,,APPROVED,paul.taylor@nexuserp.com,2026-01-25 00:00:00,2026-01-12 00:00:00
145,ANNUAL,2026-01-28,2026-01-29,,APPROVED,priya.mitchell@nexuserp.com,2026-01-12 00:00:00,2025-12-23 00:00:00
150,ANNUAL,2026-07-23,2026-07-24,,APPROVED,lea.moreau@nexuserp.com,2026-07-14 00:00:00,2026-07-02 00:00:00
150,ANNUAL,2026-04-13,2026-04-15,,REJECTED,lea.moreau@nexuserp.com,2026-04-07 00:00:00,2026-03-21 00:00:00
151,ANNUAL,2025-11-21,2025-11-22,,APPROVED,aiko.silva@nexuserp.com,2025-11-14 00:00:00,2025-10-28 00:00:00
151,SICK,2025-10-03,2025-10-05,,APPROVED,aiko.silva@nexuserp.com,2025-09-21 00:00:00,2025-09-13 00:00:00
152,ANNUAL,2025-12-16,2025-12-20,,APPROVED,sharon.nielsen2@nexuserp.com,2025-11-30 00:00:00,2025-11-07 00:00:00
152,SICK,2026-04-21,2026-04-23,,APPROVED,sharon.nielsen2@nexuserp.com,2026-04-02 00:00:00,2026-03-24 00:00:00
152,ANNUAL,2026-01-30,2026-02-02,,APPROVED,sharon.nielsen2@nexuserp.com,2026-01-16 00:00:00,2026-01-06 00:00:00
153,ANNUAL,2026-01-27,2026-01-31,,APPROVED,hugo.jones@nexuserp.com,2026-01-13 00:00:00,2025-12-19 00:00:00
153,SICK,2026-01-14,2026-01-15,,APPROVED,hugo.jones@nexuserp.com,2026-01-06 00:00:00,2025-12-11 00:00:00
154,SICK,2026-08-11,2026-08-12,,APPROVED,nicholas.brown2@nexuserp.com,2026-08-04 00:00:00,2026-07-07 00:00:00
154,ANNUAL,2025-10-02,2025-10-03,,APPROVED,nicholas.brown2@nexuserp.com,2025-09-19 00:00:00,2025-08-26 00:00:00
154,SICK,2026-03-07,2026-03-09,,APPROVED,nicholas.brown2@nexuserp.com,2026-03-01 00:00:00,2026-02-06 00:00:00
155,ANNUAL,2025-11-03,2025-11-07,,APPROVED,lea.moreau@nexuserp.com,2025-10-25 00:00:00,2025-10-12 00:00:00
159,ANNUAL,2026-09-11,2026-09-19,,APPROVED,sara.khalil@nexuserp.com,2026-08-26 00:00:00,2026-08-17 00:00:00
159,SICK,2025-10-20,2025-10-21,,APPROVED,sara.khalil@nexuserp.com,2025-10-17 00:00:00,2025-09-12 00:00:00
160,ANNUAL,2026-01-18,2026-01-27,,APPROVED,karim.park@nexuserp.com,2026-01-02 00:00:00,2025-12-19 00:00:00
160,SICK,2026-03-07,2026-03-08,,APPROVED,karim.park@nexuserp.com,2026-02-26 00:00:00,2026-02-06 00:00:00
160,SICK,2026-08-06,2026-08-08,,APPROVED,karim.park@nexuserp.com,2026-08-03 00:00:00,2026-07-08 00:00:00
161,ANNUAL,2025-04-29,2025-04-30,,APPROVED,eric.adams2@nexuserp.com,2025-04-26 00:00:00,2025-03-21 00:00:00
161,ANNUAL,2026-01-16,2026-01-17,,APPROVED,eric.adams2@nexuserp.com,2026-01-01 00:00:00,2025-12-23 00:00:00
161,ANNUAL,2026-02-16,2026-02-19,,APPROVED,eric.adams2@nexuserp.com,2026-02-11 00:00:00,2026-01-21 00:00:00
162,ANNUAL,2026-05-26,2026-05-31,,APPROVED,hugo.jones@nexuserp.com,2026-05-17 00:00:00,2026-04-20 00:00:00
164,ANNUAL,2026-04-17,2026-04-18,,APPROVED,steven.laurent@nexuserp.com,2026-04-01 00:00:00,2026-03-22 00:00:00
164,ANNUAL,2025-11-17,2025-11-24,,APPROVED,steven.laurent@nexuserp.com,2025-11-09 00:00:00,2025-10-11 00:00:00
167,ANNUAL,2026-06-21,2026-06-22,,APPROVED,kevin.obrien@nexuserp.com,2026-06-10 00:00:00,2026-05-20 00:00:00
169,ANNUAL,2026-04-23,2026-04-30,,APPROVED,rayan.flores@nexuserp.com,2026-04-17 00:00:00,2026-03-21 00:00:00
170,ANNUAL,2026-09-01,2026-09-09,,APPROVED,ryan.taylor@nexuserp.com,2026-08-25 00:00:00,2026-07-30 00:00:00
170,ANNUAL,2025-12-05,2025-12-10,,APPROVED,ryan.taylor@nexuserp.com,2025-11-23 00:00:00,2025-11-02 00:00:00
