employee_id,course_id,training_date,completion_status,location,cost,duration_days
207,2,2025-10-15,Completed,Head Office,936.95,3
208,3,2026-06-24,Completed,Online,561.2,2
211,2,2026-05-30,Incomplete,Head Office,606.7,3
211,3,2025-12-11,Completed,Online,586.08,5
214,1,2025-11-27,Completed,Online,336.46,2
214,2,2025-11-21,Completed,Training Center,670.71,4
214,2,2025-12-24,Incomplete,Training Center,669.24,3
215,5,2026-05-06,Completed,Training Center,161.34,2
215,4,2025-11-02,Completed,Online,340.26,1
216,5,2026-09-02,Completed,Training Center,196.49,1
216,4,2025-12-21,Incomplete,Training Center,302.51,2
216,4,2026-04-30,Completed,Online,153.84,3
217,6,2026-03-04,Completed,Head Office,257.08,1
217,1,2026-09-21,Completed,Online,656.57,3
217,1,2025-12-08,Completed,Training Center,343.5,3
217,1,2025-10-10,Completed,Head Office,913.07,5
217,1,2026-05-03,Completed,Online,755.56,2
217,6,2026-02-19,Incomplete,Training Center,278.96,1
218,1,2025-10-14,Completed,Training Center,643.28,5
221,2,2026-05-23,Completed,Head Office,915.83,3
221,6,2026-02-12,Completed,Head Office,212.23,2
223,6,2026-06-30,Completed,Head Office,495.16,1
223,5,2026-02-11,Completed,Training Center,377.41,3
224,1,2026-03-28,Completed,Online,613.85,4
224,6,2026-08-06,Completed,Head Office,496.99,2
226,3,2026-01-19,Completed,Training Center,777.01,2
226,2,2026-05-07,Completed,Training Center,779.34,2
226,4,2026-04-27,Completed,Training Center,240.88,2
226,3,2026-02-28,Completed,Training Center,672.51,4
226,3,2026-04-11,Incomplete,Training Center,703.44,5
227,1,2026-01-23,Completed,Head Office,328.81,5
227,1,2026-04-08,Completed,Training Center,944.86,5
228,5,2026-03-04,Completed,Training Center,223.38,3
228,5,2026-02-20,Completed,Online,447.53,3
230,2,2026-05-27,Completed,Head Office,425.4,3
230,2,2026-06-11,Completed,Online,441.65,4
231,6,2026-06-17,Completed,Head Office,469.63,1
231,6,2026-04-07,Completed,Online,466.53,1
233,6,2026-08-30,Completed,Online,436.68,1
233,6,2025-10-07,Completed,Training Center,465.07,1
233,2,2026-08-14,Completed,Online,896.94,4
235,5,2025-12-19,Incomplete,Training Center,115.11,2
235,5,2025-12-19,Completed,Training Center,460.79,1
235,5,2025-12-16,Completed,Head Office,448.35,3
235,5,2026-02-15,Completed,Training Center,143.0,3
235,5,2025-10-20,Incomplete,Online,380.94,2
238,4,2026-02-14,Completed,Training Center,305.82,2
238,1,2026-01-13,Completed,Training Center,328.58,4
238,1,2026-06-01,Completed,Head Office,686.93,2
239,6,2026-03-29,Completed,Online,229.28,2
239,1,2026-07-21,Completed,Head Office,432.11,3
239,6,2026-01-13,Completed,Online,485.98,1
239,1,2025-11-18,Completed,Head Office,849.81,3
240,5,2026-08-28,Completed,Head Office,575.32,1
240,2,2026-07-21,Completed,Training Center,665.75,3
240,4,2026-01-19,Completed,Online,145.92,2
241,1,2026-07-25,Incomplete,Head Office,390.41,2
241,6,2025-11-23,Completed,Head Office,486.19,1
241,2,2026-01-02,Completed,Head Office,667.36,3
242,1,2025-10-10,Completed,Online,422.19,5
242,1,2026-09-01,Completed,Training Center,434.35,4
243,1,2025-07-18,Completed,Head Office,374.35,5
243,1,2025-08-24,Completed,Training Center,398.98,5
243,1,2025-07-30,Completed,Training Center,344.05,4
244,5,2026-09-05,Completed,Training Center,204.8,1
244,5,2026-04-05,Incomplete,Online,112.96,1
245,1,2025-09-26,Completed,Training Center,938.81,5
245,4,2026-07-22,Completed,Training Center,472.94,2
245,6,2026-01-18,Completed,Head Office,451.15,1
247,1,2026-08-26,Completed,Head Office,316.47,4
247,1,2025-12-28,Completed,Online,738.23,2
247,2,2026-04-07,Completed,Online,640.01,4
248,5,2025-12-15,Completed,Online,334.04,2
248,5,2025-07-12,Incomplete,Training Center,188.02,2
248,5,2025-05-13,Completed,Online,224.78,2
248,5,2025-08-15,Completed,Head Office,557.62,3
248,5,2025-06-23,Incomplete,Head Office,271.57,3
249,4,2026-07-20,Completed,Online,519.81,2
249,1,2026-06-27,Completed,Online,300.74,3
250,2,2026-05-26,Completed,Online,759.93,2
250,6,2026-04-14,Incomplete,Head Office,384.82,2
250,6,2026-08-16,Completed,Training Center,272.58,2
252,6,2025-11-29,Completed,Head Office,266.51,1
252,6,2026-01-10,Incomplete,Training Center,277.35,2
252,1,2025-11-01,Incomplete,Head Office,763.59,2
252,1,2026-06-21,Completed,Training Center,403.62,5
252,1,2025-10-02,Completed,Head Office,389.71,3
253,4,2026-05-01,Completed,Head Office,476.07,2
253,3,2026-06-07,Completed,Head Office,858.36,4
254,1,2025-12-10,Completed,Online,642.67,5
254,3,2026-05-08,Completed,Training Center,504.72,4
254,2,2025-12-23,Incomplete,Online,648.23,2
256,6,2026-04-23,Completed,Online,464.05,1
256,2,2026-04-08,Completed,Online,434.53,3
258,5,2026-05-02,Completed,Online,455.44,1
258,5,2026-08-29,Completed,Online,213.42,1
258,4,2026-03-05,Completed,Head Office,321.45,1
258,5,2026-04-12,Completed,Online,105.2,3
258,6,2026-05-05,Completed,Training Center,256.28,1
258,5,2026-06-17,Completed,Training Center,135.56,3
259,2,2025-11-06,Completed,Training Center,428.87,4
259,2,2025-11-26,Completed,Online,870.37,2
259,2,2026-02-10,Completed,Head Office,448.76,3
259,3,2026-01-06,Incomplete,Training Center,722.45,4
259,3,2026-04-29,Completed,Head Office,955.94,2
260,6,2025-11-22,Completed,Training Center,296.49,2
260,1,2025-10-01,Completed,Training Center,787.23,2
261,6,2025-11-13,Completed,Head Office,441.3,2
262,2,2026-05-08,Completed,Online,709.53,3
262,2,2026-04-25,Completed,Training Center,852.66,3
262,2,2026-02-08,Completed,Head Office,750.43,2
264,3,2026-07-26,Completed,Training Center,597.64,5
267,2,2026-07-03,Completed,Training Center,720.65,2
267,2,2025-11-25,Completed,Head Office,474.33,3
267,2,2026-08-20,Completed,Online,458.33,4
269,1,2026-09-11,Completed,Head Office,590.18,5
269,4,2026-08-21,Completed,Online,486.13,2
269,6,2026-01-20,Completed,Head Office,186.45,1
269,4,2025-12-07,Incomplete,Training Center,150.16,1
269,6,2026-01-24,Completed,Training Center,461.09,2
270,2,2026-07-15,Completed,Head Office,943.79,2
270,6,2025-11-20,Incomplete,Training Center,388.29,2
270,6,2026-08-18,Incomplete,Head Office,383.81,2
270,2,2025-11-26,Completed,Online,784.2,4
270,2,2026-07-10,Completed,Online,509.88,2
271,2,2026-02-22,Incomplete,Head Office,422.08,4
